0,Arsenal
1,Aston Villa
2,Bournemouth
3,Brighton
4,Burnley
5,Chelsea
6,Crystal Palace
7,Everton
8,Leicester City
9,Liverpool
10,Manchester City
11,Manchester United
12,NewCastle United
13,Norwich City
14,Sheffield United
15,Southampton
16,Tottenham Hotspur
17,Watford
18,West Ham United
19,Wolverhampton Wanderers
20,Cardiff
21,Fulham
22,Huddersfield
23,Stoke
24,Swansea
25,West Brom
26,Hull
27,Sunderland
28,Middlesbrough
29,QPR
30,Reading
31,Wigan
32,Blackburn
33,Bolton
34,Birmingham
35,Blackpool
36,Portsmouth
37,Derby
38,Charlton
39,Leeds
